ItemName,total_sentiment_analysis,YearPosted
FINAL FANTASY TYPE-0™ HD,5,2015
FINAL FANTASY V,1,2016
FINAL FANTASY VII,21,2013
FINAL FANTASY VIII,11,2013
FINAL FANTASY X/X-2 HD Remaster,4,2016
FINAL FANTASY XIV Online,11,2016
FINAL FANTASY® XIII,8,2014
FINAL FANTASY® XIII-2,4,2014
FIST OF AWESOME,2,2014
FLASHOUT 2,1,2014
FORCED SHOWDOWN,1,2016
FORCED: Slightly Better Edition,3,2015
FPV Air Tracks,2,2016
FSX: Steam Edition - Diamond DA40 Add-On,1,2015
FSX: Steam Edition - HD Airport Graphics Add-On,1,2016
FSX: Steam Edition - REX 4 Texture Direct Enhanced Edition Add-On,1,2016
FTL: Faster Than Light,145,2015
FTL: Faster Than Light - Soundtrack,1,2015
Fable - The Lost Chapters,12,2014
Fable Anniversary,13,2015
Face It - A game to fight inner demons,2,2015
FaceRig,11,2014
Factorio,35,2016
Factorio - Soundtrack,1,2016
Fading Hearts,3,2014
Faerie Solitaire,6,2013
Fahrenheit: Indigo Prophecy Remastered,1,2016
Fairy Fencer F,4,2016
Fallen Earth Free2Play,23,2014
Fallen Enchantress: Legendary Heroes,3,2015
Fallout 2: A Post Nuclear Role Playing Game,9,2014
Fallout 3,32,2014
Fallout 3: Game of the Year Edition,63,2015
Fallout 4,194,2015
Fallout 4 - Automatron,6,2016
Fallout 4 - Contraptions Workshop,1,2016
Fallout 4 - Wasteland Workshop,3,2016
Fallout 4 Far Harbor,4,2016
Fallout 4 Season Pass,2,2016
Fallout 4 Vault-Tec Workshop,1,2016
Fallout New Vegas: Dead Money,1,2014
Fallout New Vegas: Old World Blues,2,2016
Fallout New Vegas®: Gun Runners’ Arsenal™,1,2015
Fallout New Vegas®: Lonesome Road™,1,2016
Fallout Tactics: Brotherhood of Steel,2,2015
Fallout: A Post Nuclear Role Playing Game,7,2015
Fallout: New Vegas,175,2014
Famaze,1,2015
Fantasy Wars,1,2011
Far Cry 3,113,2014
Far Cry 3 - Blood Dragon,26,2016
Far Cry®,4,2012
Far Cry® 2: Fortune's Edition,8,2013
Far Cry® 3 Deluxe Bundle DLC,1,2016
Far Cry® 4,35,2015
Far Cry® Primal,8,2016
FarSky,10,2014
Farm for your Life,2,2016
Farming Simulator 15,19,2016
Farming Simulator 2013 Titanium Edition,15,2013
Farnham Fables,1,2016
Fated Souls,1,2016
Feed and Grow: Fish,2,2016
Feeding Frenzy 2 Deluxe,3,2014
Fernbus Simulator,1,2016
Fieldrunners,1,2012
Fieldrunners 2,1,2015
Fiesta Online NA,1,2014
Fighties,1,2015
Final DOOM,1,2016
Final Exam,1,2014
Final Rush,2,2014
Finding Teddy,2,2014
Fingerbones,3,2015
Fingered,1,2015
Firefighters 2014,1,2014
Firewatch,42,2016
Fishing Planet,9,2015
Fistful of Frags,121,2014
Five Nights at Freddy's,92,2015
Five Nights at Freddy's 2,59,2014
Five Nights at Freddy's 3,27,2015
Five Nights at Freddy's 4,23,2016
FlatOut,4,2016
FlatOut 2™,6,2016
FlatOut: Ultimate Carnage,3,2016
Flatout 3: Chaos & Destruction,1,2014
Flesh Eaters,4,2015
Flight Control HD,1,2011
Floating Point,14,2014
Flower Shop: Summer In Fairbrook,1,2014
Flowers -Le volume sur printemps- Demo,1,2016
Flying Tigers: Shadows Over China,1,2016
FootLOL: Epic Fail League,3,2015
Ford Racing 3,3,2015
Foreign Legion: Buckets of Blood,1,2011
Forge Quest,3,2014
Fork Parker's Holiday Profit Hike,2,2014
Forsaken Isle,1,2016
Fortified,1,2016
Fortix,2,2013
Fortress Forever,1,2015
FortressCraft Evolved!,2,2016
Forward to the Sky,1,2016
Foul Play,1,2014
Fractal: Make Blooms Not War,1,2013
Fractured Soul,1,2015
Fractured Space,24,2014
Fragmented,1,2016
Fran Bow,2,2016
Freddi Fish 3: The Case of the Stolen Conch Shell,1,2014
Freddi Fish 5: The Case of the Creature of Coral Cove,1,2015
Freddi Fish and The Case of the Missing Kelp Seeds,2,2016
Frederic: Evil Strikes Back,1,2016
Free to Play,55,2014
Freebie,1,2016
Freedom Force,1,2014
Freedom Planet,8,2014
Freestyle 2: Street Basketball,10,2015
Freshman Year,1,2015
From Dust,6,2016
From the Depths,9,2015
Front Mission Evolved,1,2012
Frontlines™: Fuel of War™,1,2014
Frozen Free Fall: Snowball Fight,6,2016
Frozen Synapse,9,2011
Full Mojo Rampage,2,2014
Funk of Titans,1,2015
Furi,2,2016
Fuse,3,2016
Future Wars,1,2014
GASP,1,2015
GRAV,6,2015
GRID 2,19,2013
GRID Autosport,6,2014
GTGD S1: More Than a Gamer,1,2015
GUILTY GEAR Xrd -SIGN-,2,2016
GUN™,1,2016
GabeN: The Final Decision,1,2015
Galactic Civilizations III,7,2016
Galactic Civilizations® II: Ultimate Edition,3,2014
Galactic Storm,1,2016
Galagan's Island: Reprymian Rising,1,2015
Galcon 2: Galactic Conquest,4,2015
Galcon Fusion,1,2015
Game Dev Tycoon,86,2014
Game of Thrones,2,2013
Game of Thrones - A Telltale Games Series,29,2015
Gamma Bros 1.5,1,2016
Gang Beasts,22,2015
Gaokao.Love.100Days,2,2016
Garbage Day,1,2016
Gardens Inc. – From Rakes to Riches,1,2014
Garfield Kart,1,2016
Garry's Mod,1657,2013
Gas Guzzlers Extreme,3,2015
Gauntlet™ Slayer Edition,6,2016
Gear Up,18,2016
GemCraft - Chasing Shadows,3,2016
Gemini Rue,1,2015
Gems of War - Puzzle RPG,2,2014
Gender Bender DNA Twister Extreme,3,2015
Genesis Online,1,2015
Geometry Dash,78,2016
Geometry Wars: Retro Evolved,4,2014
Geometry Wars™ 3: Dimensions Evolved,3,2015
Get Off My Lawn!,1,2014
Get Rich or Die Gaming,1,2015
Gimbal,2,2015
Girlfriend Rescue,1,2016
Gish,1,2013
GlassWire,1,2016
Glitchspace,1,2014
Gloria Victis,4,2016
Gnomoria,5,2014
Go! Go! Nippon! ~My First Trip to Japan~,13,2014
GoD Factory: Wingmen,1,2015
Goat Simulator,251,2015
Goat Simulator: GoatZ,1,2016
Goats on a Bridge,1,2015
God Mode,8,2014
Gods Will Be Watching,6,2015
Gods vs Humans,1,2014
Godus Wars,2,2016
Golden Rush,1,2015
Golf With Your Friends,18,2016
Gomo,1,2014
Gon' E-Choo!,1,2015
Gone Home,32,2015
Goodbye Deponia,1,2016
Gorky 17,2,2014
Gotham City Impostors Free to Play,83,2014
Governor of Poker 3,2,2016
Grand Ages: Medieval,1,2015
Grand Ages: Rome,2,2014
Grand Theft Auto III,8,2015
Grand Theft Auto V,271,2015
Grand Theft Auto: Episodes from Liberty City,8,2014
Grand Theft Auto: San Andreas,34,2015
Grand Theft Auto: Vice City,16,2014
Grandia® II Anniversary Edition,1,2015
Grapple,1,2016
Grass Simulator,7,2016
Gratuitous Space Battles,4,2015
Grave Prosperity: Redux- part 1,1,2015
Greed Corp,1,2011
Grey Cubes,1,2015
Grey Goo,4,2015
Greyfox RPG,2,2015
Grim Dawn,18,2013
Grim Fandango Remastered,5,2015
Grimm,3,2014
Grimoire: Manastorm,2,2015
Guacamelee! Gold Edition,9,2015
Guacamelee! Super Turbo Championship Edition,1,2016
Guardians of Middle-earth,1,2014
Guardians of Orion,6,2016
Guild of Dungeoneering,1,2015
Gumboy Tournament,2,2014
GunZ 2: The Second Duel,35,2014
Guncraft,4,2014
Gunjitsu,2,2015
Gunman Clive,4,2014
Gunpoint,56,2015
Guns and Robots,2,2014
Guns of Icarus Online,73,2015
H1Z1,17,2016
HELLDIVERS™,6,2015
HELLDIVERS™ - Weapons Pack,1,2016
HIT,1,2015
HITMAN™,17,2016
HITMAN™: Episode 3 - Marrakesh,1,2016
Hack 'n' Slash,1,2014
Hacker Evolution,2,2015
Hacknet,12,2016
Halcyon 6: Starbase Commander,1,2016
Half Dead,2,2016
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,5,2014
Half Minute Hero: The Second Coming,2,2015
Half-Life,60,2015
Half-Life 2,205,2012
Half-Life 2 Soundtrack,2,2015
Half-Life 2: Deathmatch,12,2013
Half-Life 2: Episode One,15,2011
Half-Life 2: Episode Two,19,2011
Half-Life 2: Lost Coast,11,2015
Half-Life 2: Update,4,2015
Half-Life Deathmatch: Source,1,2013
Half-Life: Before,4,2013
Half-Life: Blue Shift,5,2015
Half-Life: Opposing Force,3,2013
Half-Life: Source,6,2013
Halo: Spartan Assault,17,2014
Halo: Spartan Strike,1,2015
Hamilton's Great Adventure,1,2013
Hammerfight,3,2016
Hammerwatch,12,2014
Hand of Fate,9,2015
Handsome Jack Doppelganger Pack,1,2015
Hard Reset Extended Edition,9,2013
Hard Reset: Exile DLC,1,2016
Hard Room,1,2016
Hard Truck Apocalypse / Ex Machina,1,2015
Hard West,2,2015
Hardland,1,2014
Hate Plus,1,2013
Hatoful Boyfriend,11,2016
Hatred,2,2015
Haunt the House: Terrortown,2,2016
Hearts of Iron III,10,2013
Hearts of Iron IV,12,2016
Heaven Island - VR MMO,3,2016
Heavy Bullets,3,2014
Hektor,2,2015
Helen's Mysterious Castle,1,2016
Heliborne,1,2016
Hell Yeah! Wrath of the Dead Rabbit,2,2016
Her Story,1,2016
Hero Academy,2,2014
Hero Siege,16,2016
Hero Siege - Amazon (Class),1,2015
Hero Zero,1,2016
Hero of the Kingdom,1,2014
Hero of the Kingdom II,2,2015
Heroes & Generals,170,2014
Heroes Rise: The Prodigy,2,2014
Heroes of Might & Magic V,1,2015
Heroine's Quest: The Herald of Ragnarok,2,2014
Hexcells,4,2015
Hexcells Infinite,6,2016
Hexcells Plus,2,2014
Hidden Object Bundle 4 in 1,1,2016
Hide & Hold Out - H2o,1,2016
Highschool Romance,2,2015
Higurashi When They Cry Hou - Ch.1 Onikakushi,2,2015
Hippocampal: The White Sofa,1,2014
Hitman 2: Silent Assassin,3,2014
Hitman: Absolution™,68,2013
Hitman: Blood Money,15,2015
Hitman: Contracts,1,2016
Hocus Pocus,1,2015
Home,3,2013
Home Improvisation: Furniture Sandbox,1,2016
Homefront,7,2015
Homefront®: The Revolution,1,2016
Homeworld Remastered Collection,9,2016
Homeworld: Deserts of Kharak,1,2016
Hook,10,2015
Hospital Tycoon,2,2016
"Hot Dogs, Horseshoes & Hand Grenades",2,2016
Hotline Miami,145,2013
Hotline Miami 2: Wrong Number,20,2015
"House of 1,000 Doors: Family Secrets Collector's Edition",2,2014
House of the Dying Sun,1,2016
Hover,3,2016
Hover Junkers,1,2016
How to Survive,28,2015
How to Survive 2,1,2016
Hue,1,2016
Human Resource Machine,5,2015
Human: Fall Flat,1,2016
HunieCam Studio,2,2016
HuniePop,43,2015
Hunted: The Demon’s Forge™,1,2015
Hurtworld,21,2015
Hydrophobia: Prophecy,2,2014
Hyper Light Drifter,7,2016
Hyperdimension Neptunia Re;Birth1 / 超次次元ゲイム ネプテューヌRe;Birth1 / 超次次元遊戲戰機少女重生1,28,2015
Hyperdimension Neptunia Re;Birth2: Sisters Generation / 超次次元ゲイム ネプテューヌRe;Birth2,4,2015
Hyperdimension Neptunia Re;Birth3 V Generation / 神次次元ゲイム ネプテューヌRe;Birth3 V CENTURY,6,2015
Hyperdimension Neptunia U: Action Unleashed,3,2016
Hyperspace Invaders II: Pixel Edition,1,2016
"I Have No Mouth, and I Must Scream",2,2015
I am Bread,19,2014
I am Setsuna,1,2016
IL-2 Sturmovik: 1946,8,2012
IL-2 Sturmovik: Battle of Stalingrad,1,2014
IMSCARED,3,2016
INK,3,2016
INSURGENCY: Modern Infantry Combat,3,2013
IS Defense,3,2016
Ichi,1,2015
Idle Civilization,1,2015
If My Heart Had Wings,5,2015
Iggy's Egg Adventure,1,2016
Immortal Defense,1,2015
Immune - True Survival,1,2015
Imperial Glory,1,2015
Impossible Creatures Steam Edition,1,2015
Indie Game: The Movie,5,2013
Industry Giant 2,1,2015
Infectonator: Survivors,2,2014
Infested Planet,5,2016
Infinifactory,4,2015
Infinity Wars: Animated Trading Card Game,6,2014
Influent,3,2014
Influent DLC - 한국어 [Learn Korean],1,2016
Injustice: Gods Among Us Ultimate Edition,14,2014
Insanely Twisted Shadow Planet,1,2013
Insaniquarium Deluxe,5,2015
Insanity Clicker,2,2016
Insecticide Part 1,2,2014
Insurgency,204,2014
Intake,1,2015
Interplanetary,4,2014
Interstellar Marines,29,2016
Interstellar Rift,1,2015
Into The War,1,2015
Intrusion 2,2,2016
Invasion,1,2016
Inversion™,1,2013
Invisible Apartment,2,2015
"Invisible, Inc.",4,2014
Ionball 2: Ionstorm,1,2015
Iron Front: Digital War Edition,2,2016
Iron Grip: Warlord,1,2016
Iron Sky: Invasion,1,2014
Iron Snout,19,2016
Ironcast,1,2015
Ironclad Tactics,1,2013
Istrolid,5,2016
"It came from space, and ate our brains",1,2015
Ittle Dew,2,2015
Jack Keane,1,2014
Jack Lumber,2,2013
Jagged Alliance - Back in Action,1,2013
Jagged Alliance Flashback,1,2014
Jalopy,1,2016
Jamestown,3,2011
Jane's Advanced Strike Fighters,1,2015
Jazzpunk: Director's Cut,20,2014
Jesus Christ RPG Trilogy,3,2016
Jet Set Radio,8,2016
Jets'n'Guns Gold,1,2014
Joint Operations: Combined Arms Gold,1,2015
Jolly Rover,1,2011
Jotun: Valhalla Edition,1,2016
Journey of a Roach,1,2014
JourneyQuest Season One,1,2016
JourneyQuest Season Two,1,2016
Judge Dredd: Dredd vs. Death,2,2015
Jumpdrive,1,2015
Junk Jack,2,2016
Just Cause,6,2011
Just Cause 2,170,2015
Just Cause 2: Monster Truck DLC,1,2015
Just Cause 2: Multiplayer Mod,78,2013
Just Cause™ 3,55,2016
Just Deserts,1,2016
KINGDOMS,2,2015
Kane & Lynch 2: Dog Days,2,2014
Kane and Lynch: Dead Men™,2,2015
Keep Talking and Nobody Explodes,6,2015
Kerbal Space Program,136,2015
Khet 2.0,1,2016
Kholat,1,2015
Killer is Dead - Nightmare Edition,3,2016
Killing Floor,321,2011
Killing Floor 2,116,2015
Killing Floor: Uncovered,10,2015
Kindred Spirits on the Roof,1,2016
Kinetic Void,3,2016
King Arthur's Gold,26,2013
King's Bounty: Armored Princess,1,2015
King's Bounty: The Legend,1,2010
King's Bounty: Warriors of the North,1,2015
King's Quest,5,2016
Kingdom Rush,16,2015
Kingdom Wars,8,2015
Kingdom: Classic,13,2015
Kingdom: New Lands,2,2016
Kingdoms Rise,3,2014
Kingdoms of Amalur: Reckoning™,16,2015
Kings of Kung Fu,1,2014
King’s Bounty: Legions,4,2014
Kismet,1,2016
Kitty Powers' Matchmaker,1,2016
"Kivi, Toilet and Shotgun",1,2016
Knight Online,1,2016
Knights of Honor,2,2014
Knights of Pen and Paper +1 Edition,5,2015
Knock-knock,1,2013
Kold War Pack,1,2015
Korwin The Game,1,2015
Krater,1,2013
Kung Fu Strike - The Warrior's Rise,3,2015
Kung Fu Strike: The Warrior's Rise - Master Level,1,2014
Kung Fury,65,2015
Kung Fury: Street Rage,9,2015
L.A. Noire,15,2015
LARA CROFT AND THE TEMPLE OF OSIRIS™,1,2014
LEGO Batman,3,2014
LEGO Batman 3: Beyond Gotham DLC: Heroines and Villainesses Character Pack,1,2015
LEGO The Lord of the Rings,4,2014
LEGO® Batman 2 DC Super Heroes™,5,2015
LEGO® Batman™3: Beyond Gotham,7,2015
LEGO® Indiana Jones™: The Original Adventures,1,2016
LEGO® Jurassic World,1,2015
LEGO® MARVEL's Avengers,1,2016
LEGO® Marvel™ Super Heroes,39,2014
LEGO® STAR WARS™: The Force Awakens,4,2016
LEGO® Star Wars™ - The Complete Saga,7,2016
LEGO® The Hobbit™,4,2014
LEGO® Worlds,10,2015
LIGHTNING RETURNS™: FINAL FANTASY® XIII,4,2016
LIMBO,33,2016
LISA,8,2015
LISA the Joyful,1,2016
LOOM™,1,2012
LOOP: A Tranquil Puzzle Game,1,2015
LOST PLANET® 3,5,2015
LOVE,4,2015
LUFTRAUSERS,11,2014
LYNE,18,2015
La-Mulana,1,2015
Labyronia RPG,1,2015
Labyronia RPG 2,1,2015
Lambda Wars Beta,10,2016
Lamia Must Die,1,2015
Larva Mortus,1,2014
Last Hope - Tower Defense,1,2016
Layers of Fear,7,2015
Leadwerks Game Engine,1,2015
Learn Japanese To Survive! Hiragana Battle,1,2016
Left 4 Dead,32,2014
Left 4 Dead 2,722,2012
Left Alone,1,2016
Legend of Dungeon,10,2014
Legend of Grimrock,7,2013
Legend of Grimrock 2,2,2015
Legend of Mysteria RPG,1,2016
Legends of Aethereus,1,2014
Legends of Callasia,1,2016
Lemma,1,2016
Let the Cat in,2,2015
Let's Sing,1,2014
Lethal League,21,2016
Lexica,1,2016
LiEat,5,2016
Lichdom: Battlemage,7,2014
Life Goes On: Done to Death,1,2014
Life is Feudal: Your Own,18,2014
Life is Hard,1,2016
Life is Strange - Episode 1,175,2015
Lifeless Planet Premier Edition,2,2014
Liftoff,3,2015
Lightblade VR,1,2016
Lili: Child of Geos - Complete Edition,1,2014
Lilly and Sasha: Nexus of Souls,1,2016
Line of Sight,1,2016
"Linea, the Game",1,2016
Litil Divil,1,2015
Little Inferno,31,2013
Loadout,322,2015
Loadout Steam Launch Starter Pack,1,2014
Locoland,1,2015
LogicBots,1,2014
Lone Survivor: The Director's Cut,2,2013
Long Live The Queen,15,2014
Lord of the Rings: War in the North,15,2014
Lords Of The Fallen™,3,2016
Lords of Xulima,1,2015
Loren The Amazon Princess,1,2014
Lost Lands: Mahjong,2,2016
Lost Planet® 2,1,2014
Lost Saga NA,1,2015
Love at First Sight,1,2016
LoveBeat,3,2016
Lovely Planet,7,2016
Lovely Planet OST,1,2014
Lucid,1,2013
Lucius,6,2014
Lugaru HD,2,2015
MANDAGON,5,2016
MASSIVE CHALICE,1,2015
MDK 2,1,2013
METAL GEAR RISING: REVENGEANCE,30,2015
METAL GEAR SOLID V: GROUND ZEROES,20,2015
METAL GEAR SOLID V: THE PHANTOM PAIN,66,2015
METAL SLUG 3,17,2014
MIND: Path to Thalamus Enhanced Edition,1,2015
MINERVA,7,2014
MISSING: An Interactive Thriller - Episode One,1,2015
MX vs. ATV Reflex,8,2013
MX vs. ATV Supercross Encore,2,2016
MXGP - The Official Motocross Videogame,1,2015
MXGP2 - The Official Motocross Videogame,2,2016
Mabinogi,6,2014
MacGuffin's Curse,1,2015
Machinarium,7,2015
MachineCraft,3,2016
Mad Games Tycoon,4,2016
Mad Max,47,2015
Madballs in Babo:Invasion,1,2010
Mafia II,42,2015
Magic 2014 — Duels of the Planeswalkers,10,2014
Magic 2015 - Duels of the Planeswalkers,4,2014
Magic Barrage - Bitferno,1,2015
Magic Duels,21,2015
Magic: The Gathering - Duels of the Planeswalkers 2012,2,2014
Magic: The Gathering - Duels of the Planeswalkers 2013,4,2014
Magicite,40,2015
Magicka,81,2012
Magicka 2,4,2016
Magicka: Wizards of the Square Tablet,1,2015
Magicmaker,1,2015
Magrunner: Dark Pulse,1,2016
Maia,2,2016
Majestic Nights,1,2015
Majesty 2,1,2013
Majesty 2 Collection,2,2013
Majesty Gold HD,1,2015
Major\Minor,3,2016
Major\Minor - Complete Edition,1,2016
Making History II: The War of the World,1,2015
Making History: The Calm and the Storm Gold Edition,1,2016
Manga Maker Comipo,1,2015
Manhunt,1,2014
MapleStory,32,2014
Marauder,1,2014
March of the Living,1,2016
Mark of the Ninja,26,2016
Marlow Briggs and the Mask of Death,2,2014
Mars: War Logs,2,2013
Marvel Puzzle Quest,4,2014
Masked Shooters 2,1,2016
Mass Effect,16,2016
Mass Effect 2,17,2011
Massive,1,2016
Master Levels for Doom II,1,2014
Master Spy,2,2015
Master of Orion,2,2016
Max Gentlemen,10,2015
Max Payne,4,2014
Max Payne 3,39,2012
Max Payne 3: Deathmatch Made In Heaven Pack,1,2016
Max: The Curse of Brotherhood,1,2014
Maximum Override,2,2016
McPixel,14,2013
MechWarrior Online™,5,2016
Medal of Honor: Airborne,5,2014
Medal of Honor™,9,2014
Medieval Engineers,11,2015
Medieval II: Total War™,22,2016
Medieval II: Total War™ Kingdoms,3,2014
Medusa's Labyrinth,1,2016
Megabyte Punch,1,2014
Megadimension Neptunia VII,2,2016
Melody's Escape,8,2016
Meltdown,2,2015
Melty Blood Actress Again Current Code,2,2016
Memoria,1,2016
Memories of a Vagabond,3,2014
Memory Oblivion Box,1,2016
Men of War: Assault Squad,11,2013
Men of War: Assault Squad 2,12,2014
Men of War™,3,2011
Mercenary Kings,2,2013
Meridian: New World,1,2014
Metal Assault,1,2016
Metal Drift,1,2013
Metal War Online: Retribution,1,2015
Metro 2033 Redux,8,2016
Metro: Last Light Redux,22,2015
Miasmata,1,2013
Microsoft Flight Simulator X: Steam Edition,14,2014
Middle-earth: Shadow of Mordor - Flame of Anor Rune,1,2014
Middle-earth: Shadow of Mordor - GOTY Edition Upgrade,1,2014
Middle-earth: Shadow of Mordor - Power of Shadow,1,2014
Middle-earth: Shadow of Mordor - Test of Power,1,2015
Middle-earth: Shadow of Mordor - The Bright Lord,1,2016
Middle-earth: Shadow of Mordor - The Dark Ranger Character Skin,1,2015
Middle-earth™: Shadow of Mordor™,95,2016
Midnight Club 2,1,2016
Might & Magic X - Legacy,3,2014
Might & Magic: Heroes VI,1,2012
Might & Magic® Heroes® VII,1,2015
Millie,1,2015
Minecraft: Story Mode - A Telltale Games Series,16,2015
Miner Wars 2081,1,2016
Mini Metro,15,2015
Mini Motor Racing EVO,1,2013
Minimum,12,2014
Miracle Fly,1,2016
Mirror's Edge™,67,2012
MirrorMoon EP,3,2014
Miscreated,11,2016
Missing Translation,5,2015
Mitos.is: The Game,18,2016
Modular Combat,4,2015
Momodora: Reverie Under The Moonlight,1,2016
Monaco: What's Yours Is Mine,43,2014
Monday Night Combat,3,2013
Monster Loves You!,5,2014
Monsters Ate My Birthday Cake,1,2016
Monstrum,2,2016
Montague's Mount,1,2015
Montaro,5,2016
Montas,1,2015
Moon Hunters,2,2016
Mordheim: City of the Damned,3,2014
Morphopolis,2,2015
Mortal Kombat Komplete Edition,22,2015
Mortal Kombat X,17,2015
Mortal Kombat: Legacy,1,2015
Mortal Kombat: Legacy II,1,2015
Mortal Online,3,2015
Motivational Growth,2,2016
MotoGP™13,1,2015
Mount & Blade,6,2016
Mount & Blade: Warband,206,2014
Mount & Blade: Warband - Napoleonic Wars,7,2016
Mount & Blade: Warband - Viking Conquest Reforged Edition,6,2014
Mount & Blade: With Fire & Sword,10,2014
Mount Your Friends,23,2015
Mountain,32,2014
Moustache Mountain,1,2016
Move or Die,5,2016
Ms. Splosion Man,1,2014
Mugen Souls,1,2016
Murder Miners,12,2015
Murdered: Soul Suspect,6,2014
Mushihimesama,1,2015
My Butler,1,2016
My Lands: Black Gem Hunting,2,2015
My Name is Mayo,8,2016
My Paper Boat,1,2015
My Riding Stables: Life with Horses,2,2014
MyDream,1,2016
Mystery Chronicle: One Way Heroics,1,2016
Mystic Destinies: Serendipity of Aeons,1,2016
N++ (NPLUSPLUS),1,2016
NAM,1,2016
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,30,2014
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,9,2016
NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,11,2014
NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution - DLC10 Reanimation-Before Death Pack,1,2014
NBA 2K16,5,2016
NBA 2K17,2,2016
NECROPOLIS: BRUTAL EDITION,2,2016
NEKOPALIVE,2,2016
NEO Scavenger,10,2014
NEON STRUCT,1,2016
NEOTOKYO,3,2014
NEStalgia,1,2015
NOT A HERO,3,2015
NaissanceE,1,2014
Nancy Drew®: Legend of the Crystal Skull,1,2014
Nancy Drew®: The White Wolf of Icicle Creek,1,2014
Napoleon: Total War™,21,2014
Narcissu 1st & 2nd,16,2014
Nation Red,7,2015
Natural Selection 2,51,2016
Naval Action,2,2016
Naval War: Arctic Circle,1,2014
Naval Warfare,1,2013
Navy Field 2 : Conqueror of the Ocean,2,2015
NecroVision,2,2014
Need For Speed: Hot Pursuit,10,2013
Need for Speed Undercover,1,2013
Need for Speed: Shift,1,2015
Neighbours from Hell Compilation,1,2014
Neon Space ULTRA,1,2016
Nether: Resurrected,45,2014
Nevermind,1,2015
Neverwinter,46,2014
New York Taxi Simulator,1,2016
New kind of adventure,5,2015
Next Car Game: Wreckfest,23,2014
Nexuiz,1,2013
Nexus - The Jupiter Incident,1,2013
Nidhogg,22,2014
NightSky,3,2011
Nightmares from the Deep: The Cursed Heart,2,2014
Nihilumbra,1,2014
Nimble Quest,1,2014
No Man's Sky,53,2016
No More Room in Hell,270,2013
No Time To Explain Remastered,4,2016
Noct,3,2015
Noir Syndrome,1,2014
Nomad,1,2015
Nosferatu: The Wrath of Malachi,2,2015
Not The Robots,1,2014
NotGTAV,15,2015
Notrium,2,2016
Nuclear Dawn,3,2011
Nuclear Throne,39,2015
Numen: Contest of Heroes,1,2014
Nyan Cat: Lost In Space,4,2015
NyxQuest: Kindred Spirits,1,2011
O3DX,1,2015
OCEAN CITY RACING: Redux,1,2015
OMSI 2: Steam Edition,6,2015
ORION: Prelude,122,2015
OTTTD,3,2014
Obduction,1,2016
Obliteracers,2,2016
Obscure,3,2015
Obscure II (Obscure: The Aftermath),1,2014
Obulis,1,2014
Octodad: Dadliest Catch,33,2014
Oddworld: Abe's Exoddus®,5,2011
Oddworld: Abe's Oddysee®,18,2011
Oddworld: New 'n' Tasty,4,2015
Oddworld: Stranger's Wrath HD,4,2014
Odysseus: Long Way Home,1,2015
Of Guards And Thieves,1,2015
Of Kings And Men,1,2016
Of Orcs And Men,1,2013
Off-Road Drive,1,2014
Offworld Trading Company,4,2015
Oil Rush Tower Defense Map Pack,1,2015
OlliOlli,2,2014
OlliOlli2: Welcome to Olliwood,2,2015
Omegalodon,3,2014
Omerta - City of Gangsters,3,2013
OmniBus,1,2016
One Day For Ched,1,2014
One Finger Death Punch,45,2014
One Manga Day,1,2015
One More Dungeon,2,2015
One Piece Burning Blood,1,2016
One Piece Pirate Warriors 3,4,2015
One Thousand Lies,2,2016
One Troll Army,1,2016
One Way Heroics,5,2015
Only If,9,2015
Operation Flashpoint: Dragon Rising,3,2014
Orbit HD,1,2015
Orbital Gear,6,2015
Orcs Must Die!,6,2011
Orcs Must Die! 2,39,2016
Orcs Must Die! 2 - Family Ties Booster Pack,1,2015
Orcs Must Die! Unchained,10,2016
Organ Trail: Director's Cut,3,2016
Organic Panic,1,2014
Ori and the Blind Forest,35,2015
Ori and the Blind Forest: Definitive Edition,1,2016
Ortus Regni,1,2016
Osmos,2,2010
Our Darker Purpose,1,2016
Out There Somewhere,8,2015
Out of Ammo,1,2016
Out of Reach,3,2016
OutDrive,1,2016
Outcast 1.1,1,2016
Outland,1,2014
Outlast,82,2015
Outlast: Whistleblower DLC,3,2015
Over 9000 Zombies!,1,2014
Over the Dream,2,2016
Overcast - Walden and the Werewolf,2,2015
Overcooked,2,2016
Overgrowth,20,2014
Overlord II,2,2011
Overlord™,6,2015
Oxenfree,2,2016
PAC-MAN MUSEUM™,1,2015
PAC-MAN™ Championship Edition DX+,19,2014
PAC-MAN™ and the Ghostly Adventures,2,2014
PARTICLE MACE,2,2015
PAYDAY 2,892,2015
PAYDAY 2: A Merry Payday Christmas Soundtrack,1,2015
PAYDAY 2: Armored Transport,2,2015
PAYDAY 2: Biker Character Pack,2,2016
PAYDAY 2: Clover Character Pack,2,2015
PAYDAY 2: Dragan Character Pack,1,2015
PAYDAY 2: Gage Chivalry Pack,1,2015
PAYDAY 2: Gage Historical Pack,2,2014
PAYDAY 2: Gage Mod Courier,1,2016
PAYDAY 2: Gage Ninja Pack,4,2015
PAYDAY 2: Gage Sniper Pack,1,2015
PAYDAY 2: Gage Weapon Pack #01,1,2016
